channel,round,spacecraft,class,n_var,n_live,n_windows,n_anom_windows,WIN_P,WIN_R,WIN_F1,WIN_P_pa,WIN_R_pa,WIN_F1_pa,PT_P,PT_R,PT_F1,PT_F1_pa,oracle_win_F1,thresh,pred_pos_rate,normal_mean,anom_mean,gap_ratio
E-1,0,SMAP,"[contextual, contextual]",24,18,66,6,0.6000,0.5000,0.5455,0.7500,1.0000,0.8571,0.2828,0.3563,0.3153,0.6888,0.5455,7.0386,0.0758,3.91435,5.93894,1.5172
T-4,0,MSL,[point],14,11,17,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.586,0.2353,10.18369,9.13813,0.8973
