channel,spacecraft,class,n_var,n_live,n_points,n_anom_points,P_plain,R_plain,F1_plain,P_pa,R_pa,F1_pa,F1_win_pa,oracleF1,thresh,pred_pos_rate,normal_mean,anom_mean,gap_ratio
D-1,SMAP,[point],24,18,8509,3259,0.3780,0.0147,0.0284,0.9763,1.0000,0.9880,0.0000,0.4310,0.05562,0.0149,0.03180,0.03143,0.9885
E-1,SMAP,"[contextual, contextual]",24,18,8516,508,0.0350,0.0098,0.0154,0.7756,0.9390,0.8495,0.0000,0.1078,0.05557,0.0168,0.03161,0.03158,0.9992
P-1,SMAP,"[contextual, contextual, contextual]",18,16,8505,751,0.0874,0.0240,0.0376,0.7998,1.0000,0.8888,0.0000,0.1511,0.05559,0.0242,0.03111,0.03111,1.0000
T-4,MSL,[point],14,11,2217,69,0.0286,0.0290,0.0288,0.5036,1.0000,0.6699,0.0000,0.0753,0.05756,0.0316,0.03108,0.03179,1.0227
