channel,spacecraft,class,n_var,n_live,n_points,n_anom_points,P_plain,R_plain,F1_plain,P_pa,R_pa,F1_pa,F1_win_pa,oracleF1,thresh,pred_pos_rate,normal_mean,anom_mean,gap_ratio
A-3,SMAP,[contextual],18,18,8205,186,0.0110,0.0054,0.0072,0.6739,1.0000,0.8052,0.0000,0.0356,0.00922,0.0111,0.00122,0.00088,0.7203
D-11,SMAP,[point],10,6,7431,61,0.1323,0.9672,0.2327,0.1362,1.0000,0.2397,0.4000,0.3013,0.00141,0.0600,0.00074,0.00516,6.9976
D-3,SMAP,[point],20,19,8640,3276,0.9184,0.9789,0.9477,0.9200,1.0000,0.9583,1.0000,0.9554,0.00428,0.4042,0.00145,0.01118,7.6906
E-10,SMAP,"[contextual, contextual]",24,18,8505,322,0.0773,0.0435,0.0557,0.6585,1.0000,0.7941,0.0000,0.5140,0.00780,0.0213,0.00136,0.00545,4.0117
E-7,SMAP,[point],24,18,8310,281,0.3916,0.1993,0.2642,0.7636,1.0000,0.8659,1.0000,0.4278,0.00704,0.0172,0.00121,0.01110,9.1452
M-7,MSL,[point],16,14,2156,101,0.3922,0.3960,0.3941,0.6196,1.0000,0.7652,0.0000,0.4268,0.00800,0.0473,0.00218,0.00790,3.6205
R-1,SMAP,[point],8,7,7244,81,0.1019,1.0000,0.1849,0.1019,1.0000,0.1849,0.3333,0.2200,0.00002,0.1097,0.00019,0.00412,21.4846
